,node_loc,technology,year_vtg,lvl,mrg
223,Norway,gas_t_d,2070,0.0,0.0
224,Norway,gas_i,1990,0.0,0.0
225,Norway,gas_i,1995,0.0,0.0
226,Norway,gas_i,2000,0.0,0.0
227,Norway,gas_i,2005,0.0,0.0
228,Norway,gas_i,2010,0.0,0.0
229,Norway,gas_i,2015,0.0,0.0
230,Norway,gas_i,2020,0.0,0.0
231,Norway,gas_i,2025,0.0,0.0
232,Norway,gas_i,2030,0.0,0.0
233,Norway,gas_i,2035,0.0,0.0
234,Norway,gas_i,2040,0.0,0.0
235,Norway,gas_i,2045,0.0,0.0
236,Norway,gas_i,2050,0.0,0.0
237,Norway,gas_i,2055,0.0,0.0
238,Norway,gas_i,2060,0.0,0.0
239,Norway,gas_i,2065,0.0,0.0
240,Norway,gas_i,2070,0.0,0.0
241,Norway,foil_ppl,1990,0.0,0.0
242,Norway,foil_ppl,1995,0.0,0.0
243,Norway,foil_ppl,2000,0.0,0.0
244,Norway,foil_ppl,2005,0.0,0.0
245,Norway,foil_ppl,2010,0.0,0.0
246,Norway,foil_ppl,2015,0.0,0.0
247,Norway,foil_ppl,2020,0.0,0.0
248,Norway,foil_ppl,2025,0.0,0.0
249,Norway,foil_ppl,2030,0.0,0.0
250,Norway,foil_ppl,2035,0.0,0.0
251,Norway,foil_ppl,2040,0.0,0.0
252,Norway,foil_ppl,2045,0.0,0.0
253,Norway,foil_ppl,2050,0.0,0.0
254,Norway,foil_ppl,2055,0.0,0.0
255,Norway,foil_ppl,2060,0.0,0.0
256,Norway,foil_ppl,2065,0.0,0.0
257,Norway,foil_ppl,2070,20.0,0.0
258,Norway,foil_i,1990,0.0,0.0
259,Norway,foil_i,1995,0.0,0.0
260,Norway,foil_i,2000,0.0,0.0
261,Norway,foil_i,2005,0.0,0.0
262,Norway,foil_i,2010,0.0,0.0
263,Norway,foil_i,2015,0.0,0.0
264,Norway,foil_i,2020,0.0,0.0
265,Norway,foil_i,2025,0.0,0.0
266,Norway,foil_i,2030,0.0,0.0
267,Norway,foil_i,2035,0.0,0.0
268,Norway,foil_i,2040,0.0,0.0
269,Norway,foil_i,2045,0.0,0.0
270,Norway,foil_i,2050,0.0,0.0
271,Norway,foil_i,2055,0.0,0.0
272,Norway,foil_i,2060,0.0,0.0
273,Norway,foil_i,2065,0.0,0.0
274,Norway,foil_i,2070,0.0,0.0
275,Norway,loil_ppl,1990,0.0,0.0
276,Norway,loil_ppl,1995,0.0,0.0
277,Norway,loil_ppl,2000,0.0,0.0
278,Norway,loil_ppl,2005,0.0,0.0
279,Norway,loil_ppl,2010,0.0,0.0
280,Norway,loil_ppl,2015,0.0,0.0
281,Norway,loil_ppl,2020,0.0,0.0
282,Norway,loil_ppl,2025,0.0,0.0
283,Norway,loil_ppl,2030,0.0,0.0
284,Norway,loil_ppl,2035,0.0,0.0
285,Norway,loil_ppl,2040,0.0,0.0
286,Norway,loil_ppl,2045,0.0,0.0
287,Norway,loil_ppl,2050,0.0,0.0
288,Norway,loil_ppl,2055,0.0,0.0
289,Norway,loil_ppl,2060,0.0,0.0
290,Norway,loil_ppl,2065,0.0,0.0
291,Norway,loil_ppl,2070,0.0,0.0
292,Norway,loil_i,1990,0.0,0.0
293,Norway,loil_i,1995,0.0,0.0
294,Norway,loil_i,2000,0.0,0.0
295,Norway,loil_i,2005,0.0,0.0
296,Norway,loil_i,2010,0.0,0.0
297,Norway,loil_i,2015,0.0,0.0
298,Norway,loil_i,2020,0.0,0.0
299,Norway,loil_i,2025,0.0,0.0
300,Norway,loil_i,2030,0.0,0.0
301,Norway,loil_i,2035,0.0,0.0
302,Norway,loil_i,2040,0.0,0.0
303,Norway,loil_i,2045,0.0,0.0
304,Norway,loil_i,2050,0.0,0.0
305,Norway,loil_i,2055,0.0,0.0
306,Norway,loil_i,2060,0.0,0.0
307,Norway,loil_i,2065,0.0,0.0
308,Norway,loil_i,2070,0.0,0.0
309,Norway,elec_t_d,1990,0.0,0.0
310,Norway,elec_t_d,1995,0.0,0.0
311,Norway,elec_t_d,2000,0.0,0.0
312,Norway,elec_t_d,2005,0.0,0.0
313,Norway,elec_t_d,2010,0.0,0.0
314,Norway,elec_t_d,2015,0.0,0.0
315,Norway,elec_t_d,2020,11.096493,0.0
316,Norway,elec_t_d,2025,0.04193987,0.0
317,Norway,elec_t_d,2030,0.0,0.0
318,Norway,elec_t_d,2035,0.0,0.0
319,Norway,elec_t_d,2040,0.0,0.0
320,Norway,elec_t_d,2045,0.0,0.0
321,Norway,elec_t_d,2050,0.0,0.0
322,Norway,elec_t_d,2055,0.0,0.0
323,Norway,elec_t_d,2060,0.0,0.0
324,Norway,elec_t_d,2065,0.0,0.0
325,Norway,elec_t_d,2070,0.0,0.0
326,Norway,elec_i,1990,0.0,0.0
327,Norway,elec_i,1995,0.0,0.0
328,Norway,elec_i,2000,0.0,0.0
329,Norway,elec_i,2005,0.0,0.0
330,Norway,elec_i,2010,0.0,0.0
331,Norway,elec_i,2015,0.0,0.0
332,Norway,elec_i,2020,0.0,0.0
333,Norway,elec_i,2025,0.0,0.0
334,Norway,elec_i,2030,0.0,0.0
335,Norway,elec_i,2035,0.0,0.0
336,Norway,elec_i,2040,0.0,0.0
337,Norway,elec_i,2045,0.0,0.0
338,Norway,elec_i,2050,0.0,0.0
339,Norway,elec_i,2055,0.0,0.0
340,Norway,elec_i,2060,0.0,0.0
341,Norway,elec_i,2065,0.0,0.0
342,Norway,elec_i,2070,0.0,0.0
343,Norway,coal_gas,2010,0.0,0.0
344,Norway,coal_gas,2015,0.0,0.0
345,Norway,coal_gas,2020,0.0,0.0
346,Norway,coal_gas,2025,0.0,0.0
347,Norway,coal_gas,2030,0.0,0.0
348,Norway,coal_gas,2035,0.0,0.0
349,Norway,coal_gas,2040,0.0,0.0
350,Norway,coal_gas,2045,0.0,0.0
351,Norway,coal_gas,2050,0.0,0.0
352,Norway,coal_gas,2055,3.6534123,0.0
353,Norway,coal_gas,2060,0.0,0.0
354,Norway,coal_gas,2065,0.0,0.0
355,Norway,coal_gas,2070,0.0,0.0
356,Norway,meth_coal,2020,0.0,0.0
357,Norway,meth_coal,2025,0.0,0.0
358,Norway,meth_coal,2030,0.0,0.0
359,Norway,meth_coal,2035,0.0,0.0
360,Norway,meth_coal,2040,0.0,0.0
361,Norway,meth_coal,2045,0.0,0.0
362,Norway,meth_coal,2050,0.0,0.0
363,Norway,meth_coal,2055,0.0,0.0
364,Norway,meth_coal,2060,0.0,0.0
365,Norway,meth_coal,2065,0.0,0.0
366,Norway,meth_coal,2070,0.0,0.0
367,Norway,meth_coal_ccs,2020,0.0,0.0
368,Norway,meth_coal_ccs,2025,0.0,0.0
369,Norway,meth_coal_ccs,2030,0.0,0.0
370,Norway,meth_coal_ccs,2035,0.0,0.0
371,Norway,meth_coal_ccs,2040,0.0,0.0
372,Norway,meth_coal_ccs,2045,0.0,0.0
373,Norway,meth_coal_ccs,2050,0.0,0.0
374,Norway,meth_coal_ccs,2055,0.0,0.0
375,Norway,meth_coal_ccs,2060,0.0,0.0
376,Norway,meth_coal_ccs,2065,0.0,0.0
377,Norway,meth_coal_ccs,2070,0.0,0.0
378,Norway,syn_liq,1995,0.0,0.0
379,Norway,syn_liq,2000,0.0,0.0
380,Norway,syn_liq,2005,0.0,0.0
381,Norway,syn_liq,2010,0.0,0.0
382,Norway,syn_liq,2015,0.0,0.0
383,Norway,syn_liq,2020,0.0,0.0
384,Norway,syn_liq,2025,0.0,0.0
385,Norway,syn_liq,2030,0.0,0.0
386,Norway,syn_liq,2035,0.0,0.0
387,Norway,syn_liq,2040,0.0,0.0
388,Norway,syn_liq,2045,0.0,0.0
389,Norway,syn_liq,2050,0.0,0.0
390,Norway,syn_liq,2055,0.0,0.0
391,Norway,syn_liq,2060,0.0,0.0
392,Norway,syn_liq,2065,0.0,0.0
393,Norway,syn_liq,2070,0.0,0.0
394,Norway,syn_liq_ccs,2020,0.0,0.0
395,Norway,syn_liq_ccs,2025,0.0,0.0
396,Norway,syn_liq_ccs,2030,0.0,0.0
397,Norway,syn_liq_ccs,2035,0.0,0.0
398,Norway,syn_liq_ccs,2040,0.0,0.0
399,Norway,syn_liq_ccs,2045,0.0,0.0
400,Norway,syn_liq_ccs,2050,0.0,0.0
401,Norway,syn_liq_ccs,2055,0.0,0.0
402,Norway,syn_liq_ccs,2060,0.0,0.0
403,Norway,syn_liq_ccs,2065,539.32263,0.0
404,Norway,syn_liq_ccs,2070,18808.324,0.0
405,Norway,gas_bio,2010,0.0,0.0
406,Norway,gas_bio,2015,0.0,0.0
407,Norway,gas_bio,2020,0.5102017,0.0
408,Norway,gas_bio,2025,0.0,0.0
409,Norway,gas_bio,2030,0.28382227,0.0
410,Norway,gas_bio,2035,0.008336184,0.0
411,Norway,gas_bio,2040,0.008513153,0.0
412,Norway,gas_bio,2045,0.5102017,0.0
413,Norway,gas_bio,2050,0.0,0.0
414,Norway,gas_bio,2055,0.29215845,0.0
415,Norway,gas_bio,2060,0.0,0.0
416,Norway,gas_bio,2065,0.0,0.0
417,Norway,gas_bio,2070,0.0,0.0
418,Norway,meth_ng,2020,0.0,0.0
419,Norway,meth_ng,2025,0.0,0.0
420,Norway,meth_ng,2030,0.0,0.0
421,Norway,meth_ng,2035,0.0,0.0
422,Norway,meth_ng,2040,0.0,0.0
423,Norway,meth_ng,2045,0.0,0.0
