Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
43;Brekke;Kraftverk;ØSTFOLD ENERGI AS;879904412;Østfold;1;Halden;1;01.10.1924;01.10.1924;8.00;36.49;26,6;37,04;0,059;1;001.B3
776;Solbergfoss;Kraftverk;E-CO ENERGI AS;976894677;Østfold;1;Askim;24;07.10.1924;07.10.1924;208.00;946.45;21,29;1200;0,048;1;002.B5
333;Reinfossen;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Rana;33;01.01.1925;01.01.1925;3.40;6.36;30;13,48;0,07;4;156.C1
860;Kvitingen;Kraftverk;MIDT-TELEMARK ENERGI AS;963022158;Telemark;8;Sauherad;22;01.01.1926;01.01.1926;0.30;1.50;;;;2;016.CA10
259;Løkaunet;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Klæbu;30;01.01.1926;01.01.1926;9.30;7.28;52;23,92;0,108;3;123.A7
995;Gjedrem & Holmen;Kraftverk;GJEDREM & HOLMEN ELVERK DA;871072922;Rogaland;11;Bjerkreim;14;01.01.1928;19.02.2005;0.28;1.50;9,4;3,2;0,024;2;027.B1
310;Nore I;Kraftverk;STATKRAFT ENERGI AS;987059729;Buskerud;6;Nore og Uvdal;33;01.07.1928;01.07.1928;206.00;758.81;361;72;0,795;5;015.JA0
1041;Fausa I;Kraftverk;STRANDA ENERGI AS;979951140;Møre og Romsdal;15;Stranda;25;01.01.1929;01.01.1929;0.78;3.00;;;;3;098.2A
1168;Holsfossen;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Gausdal;22;01.01.1930;01.01.1930;2.20;9.80;24,23;10;0,061;1;002.DDB0
1198;Tørnes;Kraftverk;;;Trøndelag;50;Midtre Gauldal;27;01.01.1930;01.01.1930;0.06;0.20;;;;3;122.BC0
265;Maudal;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Gjesdal;22;07.09.1930;07.09.1930;25.50;101.09;300;10;0,708;2;2.70E+07
27;Bjørdal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;01.01.1931;01.01.1931;4.30;27.76;291;1,9;0,629;3;095.E
472;Ulefoss;Kraftverk;ALBERT COLLETT;911074184;Trøndelag;50;Nærøy;51;01.01.1931;01.01.1931;2.10;15.41;29;8,06;0,061;3;141.B
114;Gravfoss I;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Modum;23;01.10.1931;01.10.1931;18.60;35.00;19,7;116;0,044;1;012.D1
241;Leinafoss;Kraftverk;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;01.01.1932;09.05.1994;4.80;29.65;54;10,02;0,133;5;072.2A
859;Oterholtfoss;Kraftverk;MIDT-TELEMARK ENERGI AS;963022158;Telemark;8;Bø i Telemark;21;01.01.1932;01.01.1932;0.85;5.00;;;;2;016.CA4
315;Nygård;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Narvik;5;28.06.1932;28.06.1932;25.00;101.21;253,89;12,1;0,574;4;174.4Z
121;Grønvollfoss;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Notodden;7;01.01.1933;01.01.1933;33.00;175.44;22,6;160;0,057;2;016.F51
914;Vinjadalen;Kraftverk;OPPHEIM KRAFT AS;985310920;Hordaland;12;Voss;35;01.01.1933;01.01.1933;0.08;0.59;;;;5;062.GA
6;Arna;Kraftverk;ARNA KRAFTSELSKAP AS;910267299;Hordaland;12;Bergen;1;01.01.1934;01.01.1934;2.20;7.59;61;4,09;0,149;5;061.1A
1338;Lundsæter;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Stord;21;01.01.1934;01.01.1934;0.75;2.30;111,5;0,9;0,231;2;044.3Z
928;Vartdal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;01.01.1934;01.01.1934;0.46;3.30;393,75;0,225;0,568;3;095.3A
47;Brulandsfoss;Kraftverk;SUNNFJORD ENERGI AS;916501420;Sogn og Fjordane;14;Førde;32;01.07.1934;01.07.1934;12.50;59.31;20,39;78;0,046;3;084.B
320;Oltesvik;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Gjesdal;22;01.01.1935;09.11.1995;5.00;20.09;37,5;19,69;0,079;2;030.1A
1152;Rud Gårdskraftverk;Kraftverk;;;Buskerud;6;Ringerike;5;01.01.1935;01.01.1935;0.09;0.30;25;;;1;012.DBAZ
193;Kaldestad;Kraftverk;KVAM KRAFTVERK AS;979599684;Hordaland;12;Kvam;38;01.01.1936;01.01.1936;6.30;29.53;596;1,2;1,457;5;052.72Z
1368;Meisal I;Kraftverk;NESSET KRAFT AS;981375521;Møre og Romsdal;15;Nesset;43;01.01.1936;01.01.1936;0.90;2.00;222;0,44;;3;109.2Z
326;Osteren;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Torsken;28;01.01.1936;01.01.1936;2.50;14.89;136,89;2,09;0,331;4;195.4A3
386;Skorge;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Selje;41;01.01.1936;01.01.1936;1.80;6.76;340;0,69;0,713;3;092.3Z
221;Kvernfallet;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Åmot;29;15.11.1936;15.11.1936;1.10;2.21;18;7,44;0,041;1;002.JBA32
213;Kopa;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Volda;19;01.01.1937;01.01.1937;2.60;16.13;83,3;3,5;0,189;3;094.4D
438;Tennesvatn;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Moskenes;74;01.01.1937;01.01.1937;1.50;4.41;238;0,8;0,521;4;181.4Z
19;Bergerfoss;Kraftverk;AS RANDSFJORD TREMASSE- & PAPIRFABRIKK;915297331;Oppland;5;Jevnaker;32;01.01.1938;01.01.1938;3.30;15.25;5,4;70,51;0,013;1;012.EA8
101;Funna;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Meråker;34;01.01.1938;14.12.2007;20.60;67.80;336,2;6,5;0,88;3;124.C6A
518;Øvre Markevatn;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Askvoll;28;01.01.1938;01.01.1938;5.00;20.22;113,8;5;0,278;3;084.5B
133;Haugfoss;Kraftverk;MODUM KRAFTPRODUKSJON KF;971030674;Buskerud;6;Modum;23;06.06.1938;06.06.1938;3.60;16.51;37;12;0,083;1;012.BA2
981;Hopsfossen;Kraftverk;HOPSFOSSEN AS;915242715;Hordaland;12;Bergen;1;01.01.1939;01.01.1939;0.22;0.40;11,2;;;5;056.3A
939;Langevåg;Kraftverk;O A DEVOLDS SØNNER AS;911179180;Møre og Romsdal;15;Sula;31;01.01.1939;01.01.1939;0.13;0.20;;;;3;101.41
1681;Stifoss;Kraftverk;AS EGELANDS VERK;911281732;Aust-Agder;9;Risør;1;01.01.1939;01.01.1939;0.75;3.47;15;6,5;0,032;2;018.3A22
486;Valen;Kraftverk;VALEN KRAFTVERK AS;985383820;Hordaland;12;Kvinnherad;24;01.01.1939;05.08.2008;3.80;20.13;300;0,69;0,634;2;042.92Z
1026;Vorma;Kraftverk;ORKDAL ENERGI PRODUKSJON AS;917019258;Trøndelag;50;Orkdal;24;30.04.1939;30.04.1939;1.59;8.20;82;2,4;0,184;3;121.A3A
118;Grødemfoss;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Eigersund;1;03.10.1939;03.10.1939;3.08;16.38;62;6,5;0,141;2;027.1B
478;Ulvund;Kraftverk;NEAS AS;960684737;Møre og Romsdal;15;Sunndal;63;01.11.1939;01.11.1939;19.50;69.45;85;30;0,181;3;111.5A1
967;Rotnes Bruk;Kraftverk;ROTNES BRUK AS;989446800;Akershus;2;Nittedal;33;01.01.1940;01.01.1940;0.18;1.00;;;;1;002.CD2
415;Svean;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Klæbu;30;01.01.1940;01.01.1940;27.00;110.00;56;75;0,1;3;123.A81
256;Lysbotn;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Lenvik;31;01.01.1941;01.01.1941;5.35;29.89;106;5,5;0,215;4;194.3D3
331;Raua;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Gausdal;22;01.07.1941;01.07.1941;1.10;5.15;391,7;0,4;0,763;1;002.DDAAA
976;Tyssefossen;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Samnanger;42;01.07.1941;01.07.1941;2.80;22.90;21;18;0,043;5;055.A0
521;Øvre Svultingen;Kraftverk;SUNNFJORD ENERGI AS;916501420;Sogn og Fjordane;14;Høyanger;16;01.07.1941;01.07.1941;6.45;26.70;103;6,4;0,272;3;080.4D
201;Kistefoss I;Kraftverk;AS RANDSFJORD TREMASSE- & PAPIRFABRIKK;915297331;Oppland;5;Jevnaker;32;01.01.1942;01.01.1942;1.40;3.47;9;20,46;0,018;1;012.EA6
970;Mobæk Mølle;Kraftverk;OLE-KRISTIAN MOBÆK;994185551;Akershus;2;Nes i Akershus;36;01.01.1942;01.01.1942;0.03;0.08;;;;1;002.E2AA
