Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1547;Dalelva;Kraftverk;DALELVO KRAFT AS;993320013;Hordaland;12;Kvinnherad;24;31.08.2010;31.08.2010;3.10;9.30;137;2,6;0,331;5;046.42Z
1461;Lappvikelva;Kraftverk;NORDIC POWER AS;914341183;Nordland;18;Narvik;5;02.09.2010;02.09.2010;2.70;7.00;310;1;0,75;4;173.72Z
1454;Blådalselva;Kraftverk;SMÅKRAFT AS;984616155;Hordaland;12;Masfjorden;66;27.09.2010;27.09.2010;2.66;6.40;247;1,3;0,568;5;065.7Z
1545;Måren;Kraftverk;SMÅKRAFT AS;984616155;Sogn og Fjordane;14;Høyanger;16;06.10.2010;06.10.2010;5.00;22.40;292,5;2,5;0,556;3;079.5Z
1639;Kjølvik;Kraftverk;JOHANNES KJØLVIK;877374262;Rogaland;11;Suldal;34;18.10.2010;18.10.2010;0.34;0.90;160;0,24;0,394;2;037.6Z
1595;Lotsberg;Kraftverk;LOTSBERG KRAFT AS;993903310;Sogn og Fjordane;14;Eid;43;26.10.2010;26.10.2010;1.45;4.00;271;0,65;0,62;3;089.2A
1564;Røstad;Kraftverk;NORDIC POWER AS;914341183;Trøndelag;50;Indre Fosen;54;01.11.2010;01.11.2010;2.80;9.50;83,2;4;0,194;3;131.4Z
1590;Budalselva;Kraftverk;BUDALSELVA KRAFT AS;994507095;Sogn og Fjordane;14;Flora;1;08.11.2010;08.11.2010;0.54;3.07;107;0,537;0,279;3;085.4Z
1574;Dvergsdalsdalen;Kraftverk;DVERGSDALSDALEN KRAFTVERK AS;994193953;Sogn og Fjordane;14;Jølster;31;17.11.2010;17.11.2010;2.00;7.20;285;0,85;0,654;3;084.E3Z
1613;Sønsteby;Kraftverk;MODUM KRAFTPRODUKSJON KF;971030674;Buskerud;6;Modum;23;02.12.2010;02.12.2010;0.10;0.60;197,2;0,06;0,463;1;012.D31
1501;Jøssang;Kraftverk;JØRPELAND KRAFT AS;962130453;Rogaland;11;Strand;30;09.12.2010;09.12.2010;34.00;92.00;281;13;0,726;2;032.A
207;Kobbholm;Kraftverk;TINFOS AS;916763476;Finnmark - Finnmárku;20;Sør-Varanger;30;10.12.2010;10.12.2010;3.20;16.00;112,5;3,2;0,278;4;247.7Z
1573;Valvatn;Kraftverk;TINFOS AS;916763476;Finnmark - Finnmárku;20;Sør-Varanger;30;21.12.2010;21.12.2010;1.00;4.00;43,15;2,8;;4;247.7C
1557;Tjørn I;Kraftverk;KNUT ESPENES;969797445;Rogaland;11;Sokndal;11;08.01.2011;08.01.2011;0.16;0.80;89;0,185;0,233;2;026.4BC0
1737;Tjørn II;Kraftverk;KNUT ESPENES;969797445;Rogaland;11;Sokndal;11;08.01.2011;08.01.2011;0.05;0.25;90;0,065;0,192;2;026.4BC0
1633;Vik;Kraftverk;VIK KRAFT AS;890687482;Rogaland;11;Vindafjord;60;02.02.2011;02.02.2011;1.52;5.00;158;1,2;0,352;2;041.22Z
1570;Døla;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Steinkjer;4;01.03.2011;01.03.2011;2.10;6.90;169;1,4;0,417;3;128.3A2Z
1559;Berdalselva;Kraftverk;BERDALSKRAFT AS;990991251;Møre og Romsdal;15;Rauma;39;07.03.2011;07.03.2011;4.35;13.60;304,3;1,7;0,711;3;103.2A
1615;Lindåna;Kraftverk;LINDÅNA KRAFT AS;995081571;Aust-Agder;9;Evje og Hornnes;37;09.03.2011;09.03.2011;1.45;4.30;135;1,35;;2;021.B62
1643;Grimo;Kraftverk;GRIMOKRAFT AS;992185228;Hordaland;12;Ullensvang;31;21.03.2011;21.03.2011;0.99;3.60;362,6;0,314;0,876;5;48.1
1586;Rodal;Kraftverk;RODAL KRAFT AS;994687786;Møre og Romsdal;15;Halsa;71;02.04.2011;02.04.2011;1.70;6.10;155;1,3;0,326;3;113.511Z
1517;Nibbedalen;Kraftverk;TRYGGESTAD KRAFT AS;992530448;Møre og Romsdal;15;Stranda;25;04.04.2011;04.04.2011;1.70;4.90;62;3;0,157;3;098.5BZ
1610;Skjelfoss;Kraftverk;SKJELFOSS ENERGI AS;991938168;Østfold;1;Hobøl;38;04.04.2011;04.04.2011;0.25;1.10;6,6;5;0,014;1;003.C0
1612;Saltåno;Kraftverk;SALTÅNO KRAFT AS;990765359;Hordaland;12;Etne;11;05.04.2011;05.04.2011;0.25;1.00;92;0,3;0,231;2;042.32Z
1502;Deveggåe;Kraftverk;DEVEGGÅE KRAFT AS;993395471;Buskerud;6;Nore og Uvdal;33;15.04.2011;15.04.2011;3.00;8.25;;;;5;015.JB60
1518;Ringdal;Kraftverk;RINGDAL KRAFTVERK AS;890064892;Møre og Romsdal;15;Stranda;25;16.04.2011;16.04.2011;5.85;17.20;151,735;4,7;0,346;3;098.5AZ
1469;Finnesetbekken;Kraftverk;FINNESETBEKKEN KRAFTVERK AS;993351326;Buskerud;6;Nes i Buskerud;16;27.04.2011;27.04.2011;1.43;3.49;299,1;0,54;0,735;5;012.CC5
1575;Skipelva;Kraftverk;SKIPELVA KRAFTVERK AS;993772194;Trøndelag;50;Osen;20;27.04.2011;27.04.2011;0.38;1.90;57;0,8;0,132;3;137.2AZ
1516;Langedalen;Kraftverk;TRYGGESTAD KRAFT AS;992530448;Møre og Romsdal;15;Stranda;25;03.05.2011;03.05.2011;5.00;21.10;80;7,9;0,176;3;098.5C
1572;Føssa;Kraftverk;FØSSA KRAFTVERK AS;990139458;Trøndelag;50;Meldal;23;09.05.2011;09.05.2011;1.77;5.30;313;0,7;0,699;3;121.B4
1476;Tjøtaelva;Kraftverk;SMÅKRAFT AS;984616155;Sogn og Fjordane;14;Gloppen;45;13.05.2011;13.05.2011;2.30;8.11;380;0,7;0,913;3;86.9
1529;Oksarelva;Kraftverk;OKSARELVA KRAFT AS;994170821;Hordaland;12;Kvinnherad;24;19.05.2011;19.05.2011;1.20;4.28;320;0,434;0,768;2;45.31
1542;Seimsdal;Kraftverk;SEIMSDAL KRAFT AS;988457434;Sogn og Fjordane;14;Årdal;24;19.05.2011;19.05.2011;6.50;18.00;290;2,1;0,669;5;074.4A
1591;Kvitelva;Kraftverk;PELTON AS;918609881;Hordaland;12;Kvam;38;26.05.2011;26.05.2011;0.45;2.25;212;0,25;0,866;2;53.42
1616;Dyrkorn;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Stordal;26;31.05.2011;31.05.2011;2.80;10.00;220,8;1,5;0,519;3;100.31Z
1477;Søberg;Kraftverk;SMÅKRAFT AS;984616155;Nordland;18;Bindal;11;06.06.2011;06.06.2011;5.20;16.00;183,5;3,4;0,442;4;145.2C
1606;Dversetelva;Kraftverk;DRAGEFOSSEN AS;911204177;Nordland;18;Saltdal;40;07.06.2011;07.06.2011;3.68;9.50;108,75;4,08;0,251;4;163.2Z
1647;Leiro;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Eidfjord;32;24.06.2011;24.06.2011;5.00;8.40;80;7;0,198;5;050.CA
1607;Momrak;Kraftverk;MOMRAK KRAFTLAG AS;992803118;Telemark;8;Fyresdal;31;30.06.2011;30.06.2011;1.00;4.00;194;0,6;0,462;2;019.DB1
1625;Ågskar;Kraftverk;ÅGSKARKRAFT AS;992389370;Nordland;18;Rana;33;06.07.2011;06.07.2011;2.40;6.10;202,7;1,35;0,494;4;156.22
1658;Tveitelva;Kraftverk;TVEITELVA KRAFTVERK AS;991230580;Hordaland;12;Kvinnherad;24;11.07.2011;11.07.2011;3.30;11.40;233,3;1,8;0,521;5;046.421A
1584;Gjesdal;Kraftverk;GJESDAL KRAFT AS;995023660;Sogn og Fjordane;14;Jølster;31;15.08.2011;15.08.2011;3.70;10.50;145;3;0,343;3;8.40E+02
1630;Åselva;Kraftverk;ÅSELVA KRAFT AS;994581708;Sogn og Fjordane;14;Jølster;31;18.08.2011;18.08.2011;3.50;12.00;330;1,3;0,748;3;8.40E+04
1507;Kvassteinåga;Kraftverk;SMÅKRAFT AS;984616155;Nordland;18;Vefsn;24;25.08.2011;25.08.2011;4.33;15.00;156,6;3,28;0,367;4;155.3A
1611;Mofjellet;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Rana;33;29.08.2011;29.08.2011;0.60;2.60;287;0,25;0,663;4;156.AA
1579;Storå;Kraftverk;NORDIC POWER AS;914341183;Nordland;18;Divtasvuodna %u2013 Tysfjord;50;30.08.2011;30.08.2011;1.90;4.50;136;1,62;0,326;4;171.71
1453;Eidsetelva;Kraftverk;SMÅKRAFT AS;984616155;Møre og Romsdal;15;Volda;19;07.09.2011;07.09.2011;1.80;6.00;390;0,55;0,909;3;94.212
1650;Tesra;Kraftverk;TESRA KRAFT SA;894349042;Møre og Romsdal;15;Vanylven;11;12.09.2011;12.09.2011;0.22;0.70;175;;;3;093.11Z
1632;Thue;Kraftverk;KNUT U, THUE;970322167;Sogn og Fjordane;14;Balestrand;18;15.09.2011;15.09.2011;0.08;0.15;95;0,12;0,174;5;79.21
1644;Tuddal;Kraftverk;TUDDAL KRAFT AS;996205126;Telemark;8;Hjartdal;27;19.10.2011;19.10.2011;1.60;4.50;248;;;2;016.EAC10
1642;Nydalselva;Kraftverk;NYDALSELVA KRAFT AS;893040412;Sogn og Fjordane;14;Jølster;31;26.10.2011;26.10.2011;5.25;17.60;605;0,97;1,503;3;087.B13
1652;Ravnåga;Kraftverk;MIP MILJØKRAFT AS;819150842;Nordland;18;Rana;33;26.10.2011;26.10.2011;1.25;5.75;38;4;0,087;4;156.CB3Z
1581;Kveaså;Kraftverk;SMÅKRAFT AS;984616155;Aust-Agder;9;Valle;40;01.11.2011;01.11.2011;5.40;12.80;369;1,7;0,882;2;021.F3
1626;Bjelland II;Kraftverk;BJELLAND & MUSLAND KRAFT AS;892065152;Rogaland;11;Tysvær;46;02.11.2011;02.11.2011;0.71;2.60;165;0,61;0,323;2;39.12
1634;Oma;Kraftverk;OMA KRAFT AS;994469630;Hordaland;12;Kvam;38;04.11.2011;04.11.2011;1.40;5.08;163;1,1;0,354;5;53.22
1653;Jølåna;Kraftverk;JØLÅNA KRAFT AS;994276484;Sogn og Fjordane;14;Eid;43;10.11.2011;10.11.2011;1.68;4.50;294;0,67;0,697;3;89.14
1651;Grøvla;Kraftverk;GRØVLA KRAFT AS;995577496;Sogn og Fjordane;14;Førde;32;23.11.2011;23.11.2011;2.43;7.00;339;0,9;0,795;3;084.AZ
1629;Vikaåne;Kraftverk;VIKAÅNE KRAFTVERK AS;991936521;Buskerud;6;Hol;20;30.11.2011;30.11.2011;1.25;4.70;82,5;2;0,174;5;012.CJ1A
1637;Fossabekken;Kraftverk;GJERDE JAKOB;969353679;Hordaland;12;Kvinnherad;24;28.12.2011;28.12.2011;0.45;1.70;262;0,19;0,658;5;46.32
1771;Haugsland;Kraftverk;;;Rogaland;11;Suldal;34;01.01.2012;01.01.2012;0.02;0.14;;;;2;035.7B2
1608;Laksen;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Vefsn;24;09.01.2012;09.01.2012;4.95;22.40;78,7;7;0,196;4;149.5C
1583;Kanndalen;Kraftverk;SMÅKRAFT AS;984616155;Møre og Romsdal;15;Nesset;43;18.01.2012;18.01.2012;5.49;20.50;261;2,85;0,535;3;104.3Z
1661;Nedrebø;Kraftverk;NEDREBØ KRAFTVERK AS;995366843;Sogn og Fjordane;14;Jølster;31;24.01.2012;24.01.2012;1.42;3.60;129,3;1,4;0,325;3;084.E2Z
1666;Hovland;Kraftverk;HOVLAND KRAFT AS;994550942;Sogn og Fjordane;14;Flora;1;28.02.2012;28.02.2012;3.00;9.50;429;0,8;1,04;3;085.3Z
1669;Grytdalen;Kraftverk;SVORKA PRODUKSJON AS;973058347;Møre og Romsdal;15;Halsa;71;02.03.2012;02.03.2012;1.30;5.47;;;;3;113.41B
1730;Lauvlielva;Kraftverk;LAUVLIELVA KRAFT AS;893530312;Oppland;5;Nordre Land;38;27.03.2012;27.03.2012;1.25;3.30;153,5;0,9;0,386;1;012.EDB1Z
1668;Strandos;Kraftverk;STRANDOS KRAFT AS;995358670;Sogn og Fjordane;14;Høyanger;16;27.03.2012;27.03.2012;1.93;6.20;205;2,1;0,255;3;080.4H
1563;Holsbru;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Sogn og Fjordane;14;Årdal;24;28.03.2012;28.03.2012;48.90;84.00;687,8;8,8;1,544;5;074.CAZ
1712;Vollabekken;Kraftverk;VOLLAKRAFT AS;996018512;Trøndelag;50;Indre Fosen;54;28.03.2012;28.03.2012;1.00;2.90;198;0,6;0,463;3;132.C
1582;Dokkelva;Kraftverk;SMÅKRAFT AS;984616155;Møre og Romsdal;15;Nesset;43;29.03.2012;29.03.2012;5.49;18.60;143;4,8;0,318;3;104.3Z
1589;Kvangreelva;Kraftverk;KVANGREELVA KRAFTVERK AS;993021180;Sogn og Fjordane;14;Flora;1;29.03.2012;29.03.2012;0.48;3.00;;;;3;085.4E
1693;Syversætre Foss;Kraftverk;SYVERSÆTRE FOSS KRAFTVERK AS;995673479;Hedmark;4;Åsnes;25;17.04.2012;17.04.2012;2.50;10.50;7;46;0,015;1;002.GA1
1565;Viddal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;19.04.2012;19.04.2012;5.49;17.00;244;2,5;0,61;3;097.322Z
1687;Bratthus;Kraftverk;BRATTHUS KRAFTVERK AS;996777502;Hordaland;12;Fusa;41;07.05.2012;07.05.2012;0.68;2.04;189,6;0,41;0,461;2;053.D3
1695;Espeland;Kraftverk;BERGEN KOMMUNE;964338531;Hordaland;12;Bergen;1;08.05.2012;08.05.2012;0.97;5.00;149,8;0,777;0,345;5;061.2AA2
1660;Nedre Neset;Kraftverk;NESET KRAFT AS;991704817;Rogaland;11;Lund;12;08.05.2012;08.05.2012;2.56;7.80;117,8;2,55;0,279;2;026.BB
1694;Osavatnet;Kraftverk;BERGEN KOMMUNE;964338531;Hordaland;12;Bergen;1;08.05.2012;08.05.2012;0.60;3.50;98,25;0,777;0,215;5;061.2AA4
1508;Urdsdalselva;Kraftverk;SMÅKRAFT AS;984616155;Nordland;18;Vefsn;24;15.05.2012;15.05.2012;2.80;8.40;193;1,9;0,409;4;152.3
1566;Standal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;16.05.2012;16.05.2012;5.49;17.10;258;3;0,508;3;097.11Z
1679;Nordbøåna;Kraftverk;NORDBØÅNA KRAFT AS;992143282;Telemark;8;Nissedal;30;20.05.2012;20.05.2012;1.60;4.20;193;1;0,45;2;019.F3
1587;Saksenvik;Kraftverk;SAKSENVIK KRAFT AS;980411060;Nordland;18;Saltdal;40;22.05.2012;22.05.2012;2.50;6.70;38,7;7,2;0,093;4;163.5Z
1621;Mortensdalelva;Kraftverk;NORDIC POWER AS;914341183;Troms;19;Storfjord %u2013 Omasvuotna %u2013 Omasvuono;39;15.06.2012;15.06.2012;2.10;5.50;295;0,92;0,634;4;204.AZ
1671;Ørtvatn;Kraftverk;MIP MILJØKRAFT AS;819150842;Nordland;18;Rana;33;15.06.2012;15.06.2012;4.27;11.00;54;9;0,132;4;156.D20
1753;Hongset Røye;Kraftverk;HAGEN ODD;969227061;Nordland;18;Brønnøy;13;20.06.2012;20.06.2012;0.03;0.22;57;0,08;0,087;4;148.2Z
1646;Vasstøl;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Rogaland;11;Suldal;34;20.06.2012;20.06.2012;4.85;24.00;149;4;0,337;2;036.CC
1567;Dalegjerdet;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;21.06.2012;21.06.2012;2.30;6.00;191,6;1,3;0,491;3;097.11Z
1665;Bentsjord;Kraftverk;BENTSJORD KRAFT AS;990536511;Troms;19;Storfjord %u2013 Omasvuotna %u2013 Omasvuono;39;22.06.2012;22.06.2012;2.66;6.70;419;0,727;1,016;4;204.92
1704;Grytåi;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Nissedal;30;25.06.2012;25.06.2012;0.86;2.45;117,42;0,87;0,273;2;019.F2D1
1703;Jorda;Kraftverk;JORDA KRAFT AS;998817374;Oppland;5;Nord-Fron;16;07.07.2012;07.07.2012;2.55;7.50;335;0,9;0,787;1;002.DG1Z
1692;Herjåa;Kraftverk;HERJÅA KRAFT AS;996068935;Trøndelag;50;Midtre Gauldal;27;17.07.2012;17.07.2012;0.33;1.50;53;0,725;0,118;3;122.E1Z
1655;Embla;Kraftverk;EMBLA KRAFT AS;994230905;Møre og Romsdal;15;Stranda;25;15.08.2012;15.08.2012;4.90;16.50;411,65;1,5;0,907;3;098.3C
1622;Ellenelva;Kraftverk;NORDIC POWER AS;914341183;Troms;19;Tromsø;2;29.08.2012;29.08.2012;4.80;13.20;176;3,3;0,404;4;203.A0
1705;Bordalsbekken;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Rogaland;11;Tysvær;46;31.08.2012;31.08.2012;1.90;5.90;205,4;1,04;0,507;2;039.21Z
1683;Torvikelva;Kraftverk;SMÅKRAFT AS;984616155;Sogn og Fjordane;14;Eid;43;04.09.2012;04.09.2012;1.24;4.26;105,4;1,61;0,213;3;089.421Z
1706;Gjersvik;Kraftverk;GJERSVIK KRAFT AS;912517888;Trøndelag;50;Raarvikhe %u2013 Røyrvik;43;14.09.2012;14.09.2012;0.30;1.50;101,2;0,38;0,219;4;307.3Z
1684;Skarelva;Kraftverk;SMÅKRAFT AS;984616155;Nordland;18;Narvik;5;14.09.2012;14.09.2012;5.00;12.00;437;1,35;1,029;4;173.6A
1709;Lielva;Kraftverk;NITO AS;988926930;Buskerud;6;Flå;15;25.09.2012;25.09.2012;1.15;3.50;1,85;0,77;0,415;5;012.CB5Z
1580;Krogstadelva;Kraftverk;NORDIC POWER AS;914341183;Troms;19;Bardu;22;15.10.2012;15.10.2012;4.70;10.80;208,5;3,08;0,424;4;196.AB2Z
1623;Saltdalelva;Kraftverk;NORDIC POWER AS;914341183;Troms;19;Tromsø;2;15.10.2012;15.10.2012;5.00;16.10;214,53;2,85;0,487;4;198.72
1673;Holdal;Kraftverk;HOLDALBEKK KRAFT AS;992945850;Telemark;8;Vinje;34;16.10.2012;16.10.2012;1.24;3.50;216,6;0,7;0,492;2;016.BED41
1858;Tronstad;Kraftverk;MYKLEBY MASKIN AS;950311916;Buskerud;6;Lier;26;18.10.2012;18.10.2012;1.26;6.50;106;1,4;0,25;1;11
1716;Hanestadnea;Kraftverk;ØVERGAARD ENERGI AS;997893905;Hedmark;4;Rendalen;32;01.11.2012;01.11.2012;2.47;8.40;90,6;3,25;0,211;1;002.M2A0
1620;Dittielva;Kraftverk;NORDIC POWER AS;914341183;Troms;19;Bardu;22;06.11.2012;06.11.2012;5.60;9.85;283,5;2,46;0,632;4;196.AC5Z
1713;Øvstedal;Kraftverk;ØVSTEDAL KRAFT AS;993900486;Møre og Romsdal;15;Vestnes;35;08.11.2012;08.11.2012;1.24;4.30;301;0,5;0,686;3;102.6Z
1715;Misfjord;Kraftverk;MISFJORD KRAFT AS;997426193;Møre og Romsdal;15;Vestnes;35;21.11.2012;21.11.2012;1.40;4.00;248;0,67;0,58;3;102.51
1714;Makkoren;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Høyanger;16;23.11.2012;23.11.2012;4.00;17.80;93;4,9;0,227;3;079.BB2A
1478;Sagelvi;Kraftverk;SMÅKRAFT AS;984616155;Sogn og Fjordane;14;Balestrand;18;23.11.2012;23.11.2012;2.30;7.20;429;0,61;1,047;5;79.31
1609;Svartvatn;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;27.11.2012;27.11.2012;1.79;5.50;53;4;0,124;4;148.31A3
1667;Øverdal;Kraftverk;ØVERDAL KRAFTVERK AS;996101630;Trøndelag;50;Roan;19;10.12.2012;10.12.2012;0.50;3.00;181,75;0,342;0,406;3;136.AZ
1670;Heiåi;Kraftverk;HEIKRAFT AS;989243012;Telemark;8;Seljord;28;12.12.2012;12.12.2012;2.40;5.00;245;1,2;0,556;2;016.CD3A
1711;Odberg;Kraftverk;ODBERG KRAFTLAG SA;997278100;Vestfold;7;Larvik;12;14.12.2012;14.12.2012;0.08;0.45;134,4;0,1;0,219;2;015.B4
1726;Åmot;Kraftverk;LØVENSKIOLD-FOSSUM KRAFT AS;994200682;Telemark;8;Skien;6;19.12.2012;19.12.2012;2.20;8.80;170;1,7;0,359;2;016.ADB
1455;Vågaåna;Kraftverk;SMÅKRAFT AS;984616155;Rogaland;11;Vindafjord;60;22.12.2012;22.12.2012;3.30;9.80;422;0,98;0,935;2;038.21Z
1918;Melheim;Kraftverk;OLA RONNY MELHEIM;997765826;Sogn og Fjordane;14;Eid;43;01.01.2013;01.01.2013;0.05;0.29;11;0,6;0,023;3;089.B4Z
1878;Fossane;Pumpe;E-CO ENERGI AS;976894677;Sogn og Fjordane;14;Aurland;21;01.01.2013;01.01.2013;-3.60;0.00;;-3;-0,333;5;072.CBA2A
1729;Litleåna;Kraftverk;MYGLAND KRAFT AS;998072867;Vest-Agder;10;Kvinesdal;37;02.01.2013;02.01.2013;3.20;8.80;67;5,7;0,156;2;025.AC42
1728;Folkedal;Kraftverk;HARDANGER ENERGI AS;983502601;Hordaland;12;Granvin;34;09.01.2013;09.01.2013;4.99;24.80;369,3;1,75;0,792;5;052.21A2
1678;Bele;Kraftverk;BELE KRAFT AS;995357895;Møre og Romsdal;15;Surnadal;66;19.01.2013;19.01.2013;2.90;8.64;379;0,94;0,857;3;112.4Z
1727;Draura;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;29.01.2013;29.01.2013;2.50;6.00;206,2;1,5;0,463;3;097.322Z
1740;Hole;Kraftverk;HOLE KRAFT AS;897706482;Møre og Romsdal;15;Stranda;25;24.04.2013;24.04.2013;0.24;0.90;67;0,45;0,146;3;098.6B0
1696;Hynna;Kraftverk;HYNNA KRAFT AS;987934441;Trøndelag;50;Tydal;33;07.05.2013;07.05.2013;4.53;13.50;135,7;4;0,315;3;123.D5Z
1738;Fossan;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms;19;Gratangen;19;10.05.2013;10.05.2013;4.95;18.30;174,1;3,35;0,41;4;190.3A
1676;Åkraelva;Kraftverk;ÅKRAELVA KRAFTVERK AS;991394001;Hordaland;12;Kvinnherad;24;16.05.2013;16.05.2013;5.31;16.40;288,9;2,17;0,68;2;042.61Z
1752;Eitro;Kraftverk;EITRO KRAFTVERK AS;890712592;Hordaland;12;Fusa;41;31.05.2013;31.05.2013;4.10;12.90;510,4;0,95;1,199;2;053.D3
1708;Forsanvatn;Kraftverk;NORD-SALTEN KRAFT AS;995114666;Nordland;18;Steigen;48;04.06.2013;04.06.2013;8.80;35.00;253,6;4;0,611;4;170.2A
1736;Freim;Kraftverk;FREIM KRAFT AS;998390702;Hordaland;12;Odda;28;04.06.2013;04.06.2013;0.70;3.60;206;0,38;0,512;2;048.A
1710;Forsanvatn minikraftverk;Kraftverk;NORD-SALTEN KRAFT AS;995114666;Nordland;18;Steigen;48;12.06.2013;12.06.2013;0.72;3.00;202,912;0,4;0,502;4;170.2A
1685;Langdalselva;Kraftverk;SMÅKRAFT AS;984616155;Troms;19;Kvænangen;43;12.06.2013;12.06.2013;4.30;9.70;235;2,3;0,519;4;210.3A
1733;Kløvkraft;Kraftverk;KLØVKRAFT AS;897861712;Hordaland;12;Kvinnherad;24;17.06.2013;17.06.2013;1.39;4.89;222;0,84;0,459;2;045.31Z
1756;Fykanvannet;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Meløy;37;11.07.2013;11.07.2013;2.35;12.00;90;3;0,218;4;160.A1
1749;Liarelva;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Kvinnherad;24;12.07.2013;12.07.2013;1.90;6.20;430,5;0,5;1,056;2;042.711Z
1677;Akslandselva;Kraftverk;AKSLANDSELVA KRAFTVERK AS;991005625;Hordaland;12;Etne;11;15.07.2013;15.07.2013;1.70;6.06;332,5;0,67;0,705;2;042.11Z
1746;Voldsetelva;Kraftverk;VOLDSETELVA KRAFTVERK AS;991936440;Trøndelag;50;Verran;39;08.08.2013;08.08.2013;4.94;16.00;140;4,7;0,324;3;130.1A0
1741;Nape;Kraftverk;NAPE KRAFT AS;998416930;Telemark;8;Fyresdal;31;21.08.2013;21.08.2013;1.93;7.60;145;1,6;0,334;2;019.F2E
1721;Hølera;Kraftverk;SMÅKRAFT AS;984616155;Oppland;5;Sør-Aurdal;40;26.08.2013;26.08.2013;0.88;4.50;44,25;2,25;0,109;1;012.HA0
1744;Husstøl;Kraftverk;HUSSTØL KRAFTVERK AS;916612699;Rogaland;11;Hjelmeland;33;01.09.2013;01.09.2013;0.55;2.60;135;0,66;0,235;2;035.2A1
1743;Vikaelva;Kraftverk;VIKAELVA KRAFTVERK AS;992743174;Sogn og Fjordane;14;Stryn;49;05.09.2013;05.09.2013;5.40;14.20;341;1,92;0,781;3;088.31Z
1732;Bergselva;Kraftverk;NORDIC POWER AS;914341183;Troms;19;Storfjord %u2013 Omasvuotna %u2013 Omasvuono;39;18.09.2013;18.09.2013;5.40;11.60;394;1,6;0,938;4;204.82
1624;Torsnes;Kraftverk;NORDIC POWER TORSNES AS;993843865;Hordaland;12;Jondal;27;18.09.2013;18.09.2013;9.10;23.00;283,8;3,7;0,683;5;047.1Z
1745;Kverninga;Kraftverk;KVERNINGA KRAFTVERK AS;998032423;Hedmark;4;Rendalen;32;26.09.2013;26.09.2013;2.83;6.60;310;1,1;0,715;1;002.JE7Z
1750;Tafjord 8;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Norddal;24;10.10.2013;10.10.2013;2.80;11.30;84,1;4,2;0,185;3;099.F4
1734;Usma;Kraftverk;USMA KRAFT AS;995839865;Trøndelag;50;Selbu;32;21.10.2013;21.10.2013;9.98;30.50;286;4,4;0,63;3;123.D1Z
1571;Eldrevatn;Kraftverk;ØSTFOLD ENERGI AS;879904412;Sogn og Fjordane;14;Lærdal;22;28.10.2013;28.10.2013;4.90;24.00;141,4;3,9;0,349;5;073.CD2A2A0
1648;Steinåga;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Beiarn;39;02.11.2013;02.11.2013;5.40;23.50;448;1,4;1,071;4;161.AB0
1739;Eiriksdal;Kraftverk;STATKRAFT ENERGI AS;987059729;Sogn og Fjordane;14;Høyanger;16;22.11.2013;22.11.2013;80.00;342.00;570,4;16;1,389;3;079.BA2
1757;Venna;Kraftverk;VENNA KRAFT AS;995768488;Trøndelag;50;Snillfjord;12;02.12.2013;02.12.2013;2.80;9.80;182,5;1,8;0,432;3;119.411Z
1751;Ryddøla;Kraftverk;RYDDØLA KRAFTVERK AS;991936475;Oppland;5;Dovre;11;03.12.2013;03.12.2013;3.49;8.90;247,3;1,66;0,584;3;002.DJ5Z
